"Language","Variable","Importance","MDA_scaled"
"Mansi","snow_mean",0.142515432349781,0.667344820676319
"Mansi","permafrost",0.0732048695083661,0.32750852716271
"Mansi","dem_mean",0.210361386861149,1
"Mansi","roughness",0.199316724179229,0.945846966536407
"Mansi","river_length",0.0524579695858009,0.225784500080225
"Mansi","lake_dist",0.145340952873447,0.68119861701911
"Mansi","sea_dist",0.131427848223466,0.612981339281305
"Mansi","woodland",0.0212279872735873,0.0726609212144563
"Mansi","swamp",0.00640858910430967,0
"Mansi","soil_quality",0.0971760727888683,0.445041620820398
"Mansi","biodiversity",0.0691226452511861,0.307492992675916
"Mordvin","T_mean",0.101768433806117,0.941977973316125
"Mordvin","T_seasonal",0.054773519814113,0.506988731733706
"Mordvin","P_annual",0.01784049073756,0.165133221367525
"Mordvin","P_seasonal",0.108036957008509,1
"Mordvin","snow_mean",0.0227607949556015,0.210676009264208
"Mordvin","permafrost",0,0
"Mordvin","dem_mean",0.0344102292824097,0.31850424368857
"Mordvin","roughness",0.0370148808784962,0.342613138165127
"Mordvin","river_length",0.0242901047527923,0.224831441252822
"Mordvin","lake_dist",0.0854471789500205,0.790906938847699
"Mordvin","sea_dist",0.0748996036758511,0.693277613048208
"Mordvin","woodland",0.011327930283866,0.104852363464604
"Mordvin","swamp",0,0
"Mordvin","soil_quality",0.0543161112237079,0.502754915796359
"Mordvin","biodiversity",0.0417476435534515,0.386420024308565
"Mari","T_mean",0.122439577947528,0.754986380733795
"Mari","T_seasonal",0.0591993373989711,0.365034690856597
"Mari","P_annual",0.0576864565725491,0.355705971836417
"Mari","P_seasonal",0.162174551848902,1
"Mari","snow_mean",0.00166872895760008,0.0102897090731894
"Mari","permafrost",0,0
"Mari","dem_mean",0.0396023263421176,0.244195688476544
"Mari","roughness",0.03147831796937,0.194101464197035
"Mari","river_length",0.0403323715849456,0.248697290204465
"Mari","lake_dist",0.0834633479194672,0.514651324563115
"Mari","sea_dist",0.0212282068323939,0.130897274513033
"Mari","woodland",0.020471039823719,0.126228434673227
"Mari","swamp",0,0
"Mari","soil_quality",0.0101151304365249,0.062371872289489
"Mari","biodiversity",0.139804319686593,0.862060773979188
"Permic","T_mean",1.16617302687682,0.528755509127604
"Permic","T_seasonal",2.1060495809991,1
"Permic","P_annual",1.20266789393713,0.547053662190218
"Permic","P_seasonal",1.92207826516952,0.907758663961781
"Permic","snow_mean",2.10058700634442,0.997261120941142
"Permic","permafrost",0.394866152341726,0.142030131414461
"Permic","dem_mean",1.07476483770276,0.482924378028561
"Permic","roughness",1.17457925027265,0.532970303556676
"Permic","river_length",0.544847796342589,0.217229393655229
"Permic","lake_dist",0.836552673407993,0.36348723536302
"Permic","sea_dist",1.51013016425823,0.701212099704651
"Permic","woodland",0.325412846716948,0.107206954365302
"Permic","swamp",0.111593258799283,0
"Permic","soil_quality",0.68244106008305,0.286217248745834
"Permic","biodiversity",1.12654409546577,0.508885968255766
"Saami","T_mean",1.87127509358167,0.390004627606789
"Saami","T_seasonal",1.90846079859047,0.401042670444189
"Saami","P_annual",1.94848837169216,0.412924281038074
"Saami","P_seasonal",1.4195322742244,0.25591125515699
"Saami","snow_mean",0.736789357616598,0.0532488191842144
"Saami","permafrost",0.714913010965242,0.0467551396531595
"Saami","dem_mean",1.29916190216782,0.220181037784482
"Saami","roughness",1.34513451832144,0.233827349084238
"Saami","river_length",0.743737759290522,0.0553113524966817
"Saami","lake_dist",0.923810393875396,0.108763329645453
"Saami","sea_dist",1.21690711600336,0.195764885043809
"Saami","woodland",0.55740113531853,0
"Saami","swamp",0.649388389090919,0.0273050960683449
"Saami","soil_quality",0.99537821861463,0.13000721126782
"Saami","biodiversity",3.92626874677624,1
